14
42 48 73 65 65 39 63 33 32 21 44 50 43 83 
56 67 22 65 32 40 23 48 32 18 55 20 37 73 
28 38 74 45 68 25 64 61 24 24 43 20 62 78 
53 34 56 22 31 27 22 57 69 34 23 30 89 39 
21 79 17 46 27 42 29 16 21 34 73 44 67 27 
60 45 49 67 48 61 20 46 24 74 67 49 30 31 
54 87 40 61 36 51 61 28 39 75 41 83 81 58 
66 88 31 27 51 24 31 59 38 24 30 61 31 11
55 47 59 27 65 52 52 56 73 35 40 26 27 32 
32 54 42 21 27 24 61 30 35 42 44 28 39 74 
38 20 36 39 33 33 50 32 60 46 49 46 39 58
25 26 26 49 10 36 31 46 78 53 71 61 76 29 
36 73 77 34 74 39 57 59 37 28 56 57 29 48
10 42 25 67 48 21 20 16 24 24 17 29 30 31
